USNVC CODE,Association Name,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Sword Fern,B. fern,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
CEGL000070,Douglas fir/salal/sword fern,0,0,77,0,0,0,0,11,0,0,0,0,0,0,0,0,0,43,0,10,0,2,17,0,0,3,14,8,0,20,0,3,0,10,7,6,0,0,2,0,0,0,0,0
CEGL000086,Western hemlock/rhododendron-salal,35,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,15,0,3,0,0,0,0,0,1,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CEGL000121,Douglas fir-western hemlock/evergreen huckleberry/sword fern,27,35,56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,26,3,0,0,0,0,4,1,11,7,0,0,0,12,4,0,0,0,0.5,0,0,0,0,0
CEGL000132,Pacific madrone-lodgepole pine/salal,0,0,5,0,51,10,0,0,25,0,0,0,0,0,0,0,0,36.8,0,15.5,0,0,10.3,0,0,7.8,11.6,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0
CEGL000142,Shore pine/slough sedge,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
CEGL000150,Lodgepole pine-Doulgas fir/salal,1,0,32,0,42,2,0,0,0,0,0,0,0,0,0,0,0,61,1,4,12,0,6,0,0,2,3,1,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
CEGL000403,Shore Pine-SitkaSpruce/Evergreen Huckleberry,2,4,5,0,2,0,0,0,0,0,0,0,0,0,0,51,0,26,0,0,54,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CEGL000421,Douglas fir-Pacific madrone/salal,2,2,49,4,4,0,0,0,58,0,0,0,0,0,5,0,0,62,0.5,8,3,0,3,0,0,3,11,3,0,21,0,10,0,1,3,0,0,0,0,0,0,0,0,0
CEGL000422,Douglas fir-Pacific madrone/oceanspray/hairy honeysuckle,0,6,25,0,0,0,0,0,52,0,0,0,0,0,0,0,2,8,4,11,0,0,16,0,0,9,18,4,0,0,0,14,0,1,0,21,0,0,0,0,0,0,0,0
CEGL000456,Douglas fir/baldhip rose-oceanspray,2,0,76,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,3,15,0,0,2,0,0,6,16,1,0,0,0,3,0,3,3,26,0,0,0,0,0,0,0,0
CEGL000460,Douglas fir/oceanspray-common snowberry,0.5,2,64,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,27,0,0,18,49,4,0,0,0,5,0,2,0,18,0,0,0,0,0,0,0,0
CEGL000468,Western red cedar-grand fir/sword fern,2,46,31,20,0,0,12,21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,4,0,2,3,11,0,0,4,0,3,50,2,0,0,0,1,0,0,0,0,0
CEGL000469,Western red cedar/Vine maple,65,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CEGL000497,Douglas fir-western red cedar/Oregon oxalis,19,37,52,6,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0,4,0,7,0,1,2,0,0,0.5,0,3,0,0,2,34,0,0,3,0,0.5,39,0,0,0,0
CEGL000497,Western red cedar-western hemlock/devils club/sword fern,42,31,22,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,6,0,0,0.5,0,0,0,0,2,34,0,0.5,23,0,1,0,0,0,0,0
CEGL000548,Oregon white oak/long-stolon sedge-(common camas),0,0,6,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,25,2,0,0,100,0,0,0,0,0,0,10,0
CEGL000638,Red alder/sword fern,2,0,12,8,0,0,82,13,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,33,4,0,7,8,0,0,0,0,0,57,6,2,0,8,1,0,0,0,0,0
CEGL000639,Red alder/salmonberry,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
CEGL000640,Oregon ash/slough sedge,0,0,0,0.5,0,0,0.5,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,6,0,0.5,0,0,0,1,0,76,0,0,0,0,0,0,0,0
CEGL000883,Ponderosa pine-Oregon white oak/Bitterbrush,0,0,8,0,0,0,0,0,0,14,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
CEGL000884,Ponderosa pine-Oregon white oak/Common snowberry Woodland,0,0,0,0,0,0,0,0,0,13,0,0,0,42,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0
CEGL000929,Oregon white oak-Douglas fir/common snowberry/sword fern,0,0,37,18,0,0,0,7,0,63,0,3,0,0,0,0,0,0,3,0,0,0,27,0,0,2,7,9,0,11,0,6,11,9,0,3,0,0,2,0,0,0,0,0
CEGL001714,Oregon white oak/Roemer's fescue,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
CEGL002614,Douglas fir-western hemlock/evergreen huckleberry,37,9,60,0,0,14,0,0,0,0,0,0,0,0,0,0,0,27,0,3,28,2,0,0,0,0,0,0.5,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
CEGL002615,Douglas fir-western hemlock/Pacific rhododendron-evergreen huckleberry,37,13,58,0,0,15,0,0,5,0,0,0,0,0,0,0,0,31,0,4,26,1,0,0,0,0,3,0,25,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
CEGL002616,Douglas fir-grand fir/beaked hazelnut/sword fern,5,3,61,15,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,12,0,2,0,0,8,2,2,5,0,20,13,0,6,52,0,7,0,0,3,0,0,0,0,2
CEGL002616,Douglas fir/beaked hazelnut/sword fern-threeleaf foamflower,1,0,71,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,6,0,3,5,5,4,1,0,7,0,21,0,0,2,53,4,7,0,2,2,0,0,0,0,2
CEGL002845,"Douglas-fir-(Grand fir, western red cedar)/dwarf Oregongrape-salal",8,42,54,15,0,0,0,0,0,0,0,0,0,0,4,0,0,44,0,9,0,3,0,0,0,3,10,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0
CEGL002846,Western red cedar-bigleaf maple-grand fir/(Indian plum)/western sword fern,0,34,23,34,0,0,37,20,0,0,0,0,0,0,0,0,0,4,0,3,0,1,5,0,21,1,4,3,0,0,3,0,25,54,0,0,0,0,0,0,0,0,0,0
CEGL002848,Western red cedar-Douglas-fir-grand fir/dwarf Oregongrape/western sword fern,12,40,50,28,0,0,0,12,0,0,0,0,0,0,0,0,0,24,0,16,0,3,0,0,0,2,4,2,0,0,0,1,0.5,13,1,3.5,0,0,1,0,0,0,0,0.5
CEGL002848,Western red cedar-Douglas-fir-grand fir/dwarf oregongrape/western sword fern,10,49,39,33,0,0,0,13,0,0,0,0,0,0,0,0,0,27,0,0,0,3,7,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEGL002896,Willow wet shrubland,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,25,0,0
CEGL003299,Oregon white oak-(Oregon ash)/common snowberry,0,0,11,0,0,0,0,0,0,75,0,22,0,0,0,0,0,0,3,0,0,0,58,0,0,0,0,5,0,21,0,3,10,4,0,7,0,0,0,0,0,0,0,0
CEGL003313,Sough sedge Wet Meadow,0,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
CEGL003317,Soft rush Pacific Coast Wet Meadow,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,54,0,0,0
CEGL003334,Bigleaf maple-red alder/sword fern-fringecup,11,4,15,0,0,0,36,56,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,15,72,4,11,6,0,13,9,0,6,33,0,4,0,12,0,0,0,0,0,0
CEGL003348,Ponderosa pine/long-stolon sedge-Roemer's fescue,0,0,7,0,0,0,0,0,0,0.5,0,0,0,25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,0,22,0
CEGL003350,Douglas fir-grand fir/western fescue,0,0,59,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,5,6,1,0,0,0,2,0,2,5,25,0,0,1,0,0,0,0,0
CEGL003352,Paper birch-red alder/sword fern,11,10,7,7,0,0,38,20,0,0,44,0,5,0,0,0,0,0,0,2,0,0,15,12,6,0,8,22,0,0,0,2,13,21,7,4,0,0,0,0,0,0,0,0
CEGL003354,Oregon white oak/oval-leaf viburnum/poison oak,0,0,6,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,2,14,3,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0
CEGL003358,Oregon white oak/common snowberry/long-stolon sedge,0,0,9,0,0,0,0,0,2,60,0,6,0,0,0,0,0,0,9,0,0,0,37,0,0,0,14,5,0,9,0,0,4,2,0,34,0,0,0,0,0,0,9,0
CEGL003360,Western white pine/bog labrador-tea/peatmoss species Tree Bog,1,0,10,0,45,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
CEGL003363,Black cottonwood-bigleaf maple/common snowberry,0,0,0,0,0,0,0,35,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CEGL003389,Red alder/salmonberry/slough sedge-skunk cabbage,0.5,1,0,0,0,0,89,0,0,0,0,0,0,0,3,8,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0
CEGL003392,Oregon ash/Douglas spiraea,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0
CEGL003393,Oregon ash/snowberry,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,33,0,20,0,0,0,0,0,60,0,0,1,0,0,0,0,0
CEGL003399,Red alder/devil's club-salmonberry,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0
CEGL003407,Black cottonwood-red alder/salmonberry,0,0,0,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0
CEGL003409,Pacific willow/California nettle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,19,0,0
CEGL003417,Western hemlock-(Western red cedar)/peatmoss species,85,10,0,0,10,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEGL003787,Sitka Spruce-western hemlock/western sword fern,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,30,0,35,0,0,0,2.3,0,1,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0
CEGL005524,Sitka Spruce/salal,3,16,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,21,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CEGL005526,Sitka Spruce-Douglas-fir/salal,62,19,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CEGL005529,Sitka Spruce-western hemlock-(red alder)/devil's club/sword fern,40,13,43,0,0,0,12,0,0,0,0,0,0,0,0,16,0,3,0,1,0,23,0,10,3,0,0,0,0,0,2,0,0,45,1,0,23,0,0,0,0,0,0,0
CEGL005530,Sitka Spruce-western hemlock/western sword fern-redwood sorrel,60.5,1.2,0,0,0,0,4,1.5,0,0,0,0,0,0,0,28.5,0,1,0,0,0,3.2,0,14.5,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,44.8,0,0,0,0
CEGL005531,Douglas fir/salal-oceanspray,2,3,73,2,9,0,0,0,4,0,0,0,0,0,0,0,0,58,1,7,8,2,4,0,0,3,14,3,0,10,0,4,0,2,5,4,0,0,0,0,0,0,0,0
CEGL005532,Douglas fir/salal-red huckleberry,2,3,73,2,9,0,0,0,4,0,0,0,0,0,0,0,0,58,1,7,8,10,4,0,0,3,14,3,0,10,0,4,0,2,5,4,0,0,0,0,0,0,0,0
CEGL005534,"Douglas fir-(Red Alder, Western Hemlock)/Salmonberry ",32,14,42,0,0,0,30,34,0,0,0,0,0,0,0,2,0,2,0,2,4,7,0,51,3,0,6,2,3,0,7,0,0,44,2,0,1,0,0,0,0,0,0,0
CEGL005536,Douglas fir-western hemlock/salal/sword fern,24,25,60,0,0,0,0,16,0,0,0,0,0,0,0,0,0,37,0,11,0,4,0,33,0,1,5,4,0,9,0,1,0,16,3,2,0,0,2,0,0,0,0,0
CEGL005537,Douglas fir-western hemlock/salal-oceanspray,23,10,65,12,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4,0,6,0,0,0,4,9,2,0,0,0,2,0,1,2,0.5,0,0,0,0,0,0,0,0
CEGL005538,Douglas fir-western hemlock/salal-dwarf Oregongrape,38,19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,12,0,4,0,0,0,1,2,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
CEGL005539,Douglas fir-western hemlock/salal-red huckleberry,38,19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4,0,12,0,0,0,1,2,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
CEGL005540,Douglas fir-western hemlock/oceanspray/sword fern,26,22,63,16,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,15,0,9,9,0,1,4,24,8,0,14,0,3,6,24,4,28,0,0,3,0,0,0,0,0
CEGL005541,Douglas fir-western hemlock/dwarf Oregongrape,47,29,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,3,0,0,0,20,0,0,0,1,2,5,0,0,0,0,0,0,0,0
CEGL005543,Douglas fir-western hemlock/dwarf Oregongrape-sword fern,38,35,48,7,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,18,0,3,0,0,0,1,0,1,0,5,0,0,0,23,1,1,0,0,2,0,0,0,0,0
CEGL005544,Douglas fir-western hemlock/Pacific rhododendron,23,46,70,0,0,0,0,0,8,0,0,0,0,0,0,0,0,22,0,6,2,1,0,0,0,1,5,1,24,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0
CEGL005545,Western hemlock/salal,31,25,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,3,0,0,0,1,0,1,10,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
CEGL005546,Western hemlock/rhododendron-dwarf oregongrape,45,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,3,0,0,0,0,0,1,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CEGL005559,Western hemlock/sword fern,48,20,37,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0
CEGL005570,Western hemlock/dwarf oregongrape,32,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,4,0,0,3,4,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
CEGL005576,Western hemlock-Douglas fir/sword fern-spreading woodfern,36,33,94,14,0,0,9,18,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,4,2,0,0,3,0,3,0,0,0,54,3,4,0,0,0,0,0,0,0,0
CEGL007306,Sitka Spruce/evergreen hucklberry,2,4,5,0,2,0,0,0,0,0,0,0,0,0,0,51,0,26,0,0,54,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CEGL007317,Lodgepole pine-Doulgas fir/dwarf oregongrape,8,0,36,0,63,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0
CEGL007331,Douglas fir-grand fir/salal,0,7,47,34,0,0,0,0,0,0,0,0,0,0,3,0,0,62,0,0,0,0,4,0,0,6,20,2,0,0,0,2,0,6,2,3,0,0,1,0,0,0,0,0
CEGL007337,Douglas fir-western hemlock/cutleaf foamflower,51,28,55,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,3,0,0,0,0,0,0,2,6,39,0,1,6,0,0,0,0,0
CEGL007358,Douglas fir/beaked hazelnut/common snowberry (trailing snowberry)/sword fern,0,0,74,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,1,21,0,3,17,0,0,2,6,20,0,24,0,5,4,17,4,6,0,0,3,0,0,0,0,0
CEGL007382,Douglas fir/snowberry-serviceberry,0,0,80,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,1,5,0,0,13,0,0,1,11,19,0,13,0,7,5,4,5,18,0,0,0,0,0,0,1,0
CEGL007385,Douglas fir-grand fir/oceanspray/sword fern,4,0,48,33,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,22,0,0,19,0,0,9,23,6,0,0,0,3,3,9,5,26,0,0,3,0,0,0,0,0
CTWA000008,Douglas fir-Pacific madrone/evergreen huckleberry,4,4,52,0,0,0,0,0,57,0,0,0,0,0,2,0,0,53,0,3,41,2,1,0,0,1,5,0,0,5,0,2,0,1,3,0,0,0,0,0,0,0,0,0